Source,Target,Type,Weight
ana´lisiscuaternio´nico,mediosquirales,Undirected,1
ana´lisiscuaternio´nico,problemasdevaloresdefrontera,Undirected,1
camposelectromagne´ticos,mediosquirales,Undirected,1
camposelectromagne´ticos,problemasdevaloresdefrontera,Undirected,1
mediosquirales,problemasdevaloresdefrontera,Undirected,1
álgebra l-hereditaria,álgebras de incidencia,Undirected,1
álgebra l-hereditaria,tipo de representación,Undirected,1
álgebras de incidencia,tipo de representación,Undirected,1
asp.netcore,framework,Undirected,1
asp.netcore,multiplataforma,Undirected,1
asp.netcore,sig,Undirected,1
asp.netcore,wms,Undirected,1
framework,multiplataforma,Undirected,1
framework,sig,Undirected,1
framework,wms,Undirected,1
multiplataforma,sig,Undirected,1
multiplataforma,wms,Undirected,1
sig,wms,Undirected,1
agrupamiento,corpus,Undirected,1
agrupamiento,factorización,Undirected,1
corpus,factorización,Undirected,1
convergencia ucp,linealización local,Undirected,1
convergencia ucp,semimartingalas,Undirected,1
linealización local,semimartingalas,Undirected,1
consistencia de estimadores,función de verosimilitud suavizada,Undirected,1
consistencia de estimadores,modelos de regresión,Undirected,1
función de verosimilitud suavizada,modelos de regresión,Undirected,1
habilidades cognitivas,llm,Undirected,2
habilidades cognitivas,procesamiento del lenguaje natural,Undirected,2
llm,procesamiento del lenguaje natural,Undirected,2
cifradodehill,hojadecálculodeexcel,Undirected,2
cifradodehill,matrices,Undirected,2
cifradodehill,propuestadidáctica,Undirected,2
hojadecálculodeexcel,matrices,Undirected,2
hojadecálculodeexcel,propuestadidáctica,Undirected,2
matrices,propuestadidáctica,Undirected,2
dificultadesdeaprendizaje,límitefuncional,Undirected,1
dificultadesdeaprendizaje,pirámidesinstrumentales,Undirected,1
límitefuncional,pirámidesinstrumentales,Undirected,1
aprendizajedemáquina,automl,Undirected,2
aprendizajedemáquina,meta-aprendizaje,Undirected,2
automl,meta-aprendizaje,Undirected,2
ajustedecurvas,diabetesmellitus,Undirected,1
ajustedecurvas,modeloslineales,Undirected,1
ajustedecurvas,pronósticodeconcentraciones,Undirected,1
diabetesmellitus,modeloslineales,Undirected,1
diabetesmellitus,pronósticodeconcentraciones,Undirected,1
modeloslineales,pronósticodeconcentraciones,Undirected,1
epidemias,mapas cognitivos difusos,Undirected,1
epidemias,modelos basados en agentes,Undirected,1
epidemias,redes complejas,Undirected,1
epidemias,simulación,Undirected,1
mapas cognitivos difusos,modelos basados en agentes,Undirected,1
mapas cognitivos difusos,redes complejas,Undirected,1
mapas cognitivos difusos,simulación,Undirected,1
modelos basados en agentes,redes complejas,Undirected,1
modelos basados en agentes,simulación,Undirected,1
redes complejas,simulación,Undirected,1
exponential integrator,high-dimensional initial value problem,Undirected,1
exponential integrator,iterative numerical method,Undirected,1
exponential integrator,matrix-free method,Undirected,1
exponential integrator,phi-functions,Undirected,1
high-dimensional initial value problem,iterative numerical method,Undirected,1
high-dimensional initial value problem,matrix-free method,Undirected,1
high-dimensional initial value problem,phi-functions,Undirected,1
iterative numerical method,matrix-free method,Undirected,1
iterative numerical method,phi-functions,Undirected,1
matrix-free method,phi-functions,Undirected,1
cervicalcancer,colposcopicimage,Undirected,1
cervicalcancer,inpainting,Undirected,1
cervicalcancer,specularreflection,Undirected,1
cervicalcancer,supervisedlearning,Undirected,1
colposcopicimage,inpainting,Undirected,1
colposcopicimage,specularreflection,Undirected,1
colposcopicimage,supervisedlearning,Undirected,1
inpainting,specularreflection,Undirected,1
inpainting,supervisedlearning,Undirected,1
specularreflection,supervisedlearning,Undirected,1
operador de cauchy-riemann,operador de teodorescu,Undirected,1
operador de cauchy-riemann,problema de riemann,Undirected,1
operador de cauchy-riemann,sistema de lamé-navier,Undirected,1
operador de teodorescu,problema de riemann,Undirected,1
operador de teodorescu,sistema de lamé-navier,Undirected,1
problema de riemann,sistema de lamé-navier,Undirected,1
ejercicios,geogebra,Undirected,1
ejercicios,geometría,Undirected,1
geogebra,geometría,Undirected,1
evaluaciónautomáticadesolucionesvecinas,grafodeevaluación,Undirected,1
evaluaciónautomáticadesolucionesvecinas,problemadeenrutamiento devehículos,Undirected,1
grafodeevaluación,problemadeenrutamiento devehículos,Undirected,1
hígado,procesamiento digital de imágenes,Undirected,1
hígado,segmentación,Undirected,1
hígado,tomografía computarizada de abdomen,Undirected,1
procesamiento digital de imágenes,segmentación,Undirected,1
procesamiento digital de imágenes,tomografía computarizada de abdomen,Undirected,1
segmentación,tomografía computarizada de abdomen,Undirected,1
aprendizaje autónomo,educación híbrida,Undirected,1
aprendizaje autónomo,matemática superior,Undirected,1
educación híbrida,matemática superior,Undirected,1
cardinal,congruencia,Undirected,1
cardinal,ecuación,Undirected,1
cardinal,máximo,Undirected,1
cardinal,potencia,Undirected,1
congruencia,ecuación,Undirected,1
congruencia,máximo,Undirected,1
congruencia,potencia,Undirected,1
ecuación,máximo,Undirected,1
ecuación,potencia,Undirected,1
máximo,potencia,Undirected,1
aprendizaje con cero muestras de entrenamiento,inteligencia artificial,Undirected,1
aprendizaje con cero muestras de entrenamiento,modelos de lenguajes a gran escala,Undirected,1
inteligencia artificial,modelos de lenguajes a gran escala,Undirected,1
ciencia de datos,cáncer,Undirected,1
ciencia de datos,larga supervivencia,Undirected,1
cáncer,larga supervivencia,Undirected,1
contagiados,logístico,Undirected,1
contagiados,modelo,Undirected,1
logístico,modelo,Undirected,1
aplicaciones,competencias,Undirected,1
aplicaciones,teorema de los ceros de hilbert,Undirected,1
aplicaciones,versión débil y fuerte,Undirected,1
aplicaciones,álgebra conmutativa,Undirected,1
competencias,teorema de los ceros de hilbert,Undirected,1
competencias,versión débil y fuerte,Undirected,1
competencias,álgebra conmutativa,Undirected,1
teorema de los ceros de hilbert,versión débil y fuerte,Undirected,1
teorema de los ceros de hilbert,álgebra conmutativa,Undirected,1
versión débil y fuerte,álgebra conmutativa,Undirected,1
asistentes matemáticos,didáctica,Undirected,1
asistentes matemáticos,enseñanza de la matemática,Undirected,1
