Source,Target,Type,Weight
Antonio Iván Ruiz Chaveco,Luis Eugenio Valdés García,Undirected,1
Antonio Iván Ruiz Chaveco,Marlon Cobas-Batista,Undirected,1
Antonio Iván Ruiz Chaveco,Roberto Labrada-Claro,Undirected,1
Antonio Iván Ruiz Chaveco,Sandy Sánchez Domínguez,Undirected,3
Antonio Rafael Selva Castañeda,Erick Eduardo Ramirez-Torres,Undirected,1
Antonio Rafael Selva Castañeda,Isabel Martén Powell,Undirected,1
Antonio Rafael Selva Castañeda,Luis Enrique Bergues Cabrales,Undirected,1
Antonio Rafael Selva Castañeda,Luis Eugenio Valdés García,Undirected,1
Antonio Rafael Selva Castañeda,Marlon Cobas-Batista,Undirected,1
Antonio Rafael Selva Castañeda,Roberto Labrada-Claro,Undirected,1
Antonio Rafael Selva Castañeda,Sandy Sánchez Domínguez,Undirected,1
Erick Eduardo Ramirez-Torres,Isabel Martén Powell,Undirected,1
Erick Eduardo Ramirez-Torres,Luis Enrique Bergues Cabrales,Undirected,1
Erick Eduardo Ramirez-Torres,Luis Eugenio Valdés García,Undirected,1
Erick Eduardo Ramirez-Torres,Marlon Cobas-Batista,Undirected,1
Erick Eduardo Ramirez-Torres,Roberto Labrada-Claro,Undirected,1
Erick Eduardo Ramirez-Torres,Sandy Sánchez Domínguez,Undirected,1
Isabel Martén Powell,Luis Enrique Bergues Cabrales,Undirected,1
Isabel Martén Powell,Luis Eugenio Valdés García,Undirected,1
Isabel Martén Powell,Marlon Cobas-Batista,Undirected,1
Isabel Martén Powell,Roberto Labrada-Claro,Undirected,1
Isabel Martén Powell,Sandy Sánchez Domínguez,Undirected,2
Luis Enrique Bergues Cabrales,Luis Eugenio Valdés García,Undirected,1
Luis Enrique Bergues Cabrales,Marlon Cobas-Batista,Undirected,1
Luis Enrique Bergues Cabrales,Roberto Labrada-Claro,Undirected,1
Luis Enrique Bergues Cabrales,Sandy Sánchez Domínguez,Undirected,1
Luis Eugenio Valdés García,Marlon Cobas-Batista,Undirected,1
Luis Eugenio Valdés García,Roberto Labrada-Claro,Undirected,1
Luis Eugenio Valdés García,Sandy Sánchez Domínguez,Undirected,1
Marlon Cobas-Batista,Roberto Labrada-Claro,Undirected,1
Marlon Cobas-Batista,Sandy Sánchez Domínguez,Undirected,1
Roberto Labrada-Claro,Sandy Sánchez Domínguez,Undirected,1
Eloy Rafael Oliveros Domínguez,Mijail Borges Quintana,Undirected,1
DraC Teresa Bernarda Pagés López,Yaidir Mustelier Ruiz,Undirected,1
DraC Teresa Bernarda Pagés López,Yavseny Roque Hernández,Undirected,1
Yaidir Mustelier Ruiz,Yavseny Roque Hernández,Undirected,1
Adrian Donatien Charón,Miguel Angel Borges Trenard,Undirected,2
Adrian Donatien Charón,Mijail Borges Quintana,Undirected,2
Miguel Angel Borges Trenard,Mijail Borges Quintana,Undirected,7
Carlos Miguel Legón Pérez,Pedro Enrique Navarro Sosa,Undirected,2
Carlos Miguel Legón Pérez,Raisa Socorro Llanes,Undirected,2
Pedro Enrique Navarro Sosa,Raisa Socorro Llanes,Undirected,2
Miguel Angel Borges Trenard,Roberto Labrada Claro,Undirected,1
Mijail Borges Quintana,Roberto Labrada Claro,Undirected,1
Arlet Ponce Alvarez,Camilo Denis González,Undirected,1
Arlet Ponce Alvarez,DraC Teresa Bernarda Pagés López,Undirected,1
Arlet Ponce Alvarez,Yessica Caridad Castan˜o Sainz,Undirected,1
Camilo Denis González,DraC Teresa Bernarda Pagés López,Undirected,1
Camilo Denis González,Yessica Caridad Castan˜o Sainz,Undirected,1
DraC Teresa Bernarda Pagés López,Yessica Caridad Castan˜o Sainz,Undirected,3
Miguel Angel Borges Trenard,Osmani Tito Corrioso,Undirected,3
Mijail Borges Quintana,Osmani Tito Corrioso,Undirected,3
Carlos Miguel Legón Pérez,DraC Teresa Bernarda Pagés López,Undirected,2
Carlos Miguel Legón Pérez,Yessica Caridad Castan˜o Sainz,Undirected,2
Beatriz de Rancell Montero Deus,Dr.C. José Fidel Hernández Advíncula,Undirected,1
Aracelys García Armenteros,Joanna Campbell Amos,Undirected,1
Aracelys García Armenteros,Vivian Plasencia Calaña,Undirected,1
Joanna Campbell Amos,Vivian Plasencia Calaña,Undirected,1
Ernesto A. López Cadalso,María del Carmen Rivalta Valladares,Undirected,1
Ernesto A. López Cadalso,Mercedes M. Leal Acosta,Undirected,1
Ernesto A. López Cadalso,Nelson Tomás Hernández Reyes,Undirected,1
Ernesto A. López Cadalso,Yasser Martin Guillén,Undirected,1
María del Carmen Rivalta Valladares,Mercedes M. Leal Acosta,Undirected,1
María del Carmen Rivalta Valladares,Nelson Tomás Hernández Reyes,Undirected,1
