Id,Label
Gabriela Bayolo Soler,Gabriela Bayolo Soler
"García Rojas, Pedro","García Rojas, Pedro"
Gemayqzel Bouza Allende,Gemayqzel Bouza Allende
Gheisa Lucía Ferreira Lorenzo,Gheisa Lucía Ferreira Lorenzo
Gladys Linares Fleites,Gladys Linares Fleites
Glicerio Viltres Castro,Glicerio Viltres Castro
Gonzalo González Hernández,Gonzalo González Hernández
Gonzalo Joya Caparrós,Gonzalo Joya Caparrós
Greneter Cordoves Delgado,Greneter Cordoves Delgado
Greter Domínguez Rodríguez,Greter Domínguez Rodríguez
Guillermo Enrique Ramírez Montes,Guillermo Enrique Ramírez Montes
Guillermo Sosa Gómez,Guillermo Sosa Gómez
Guilmer F. González Flores,Guilmer F. González Flores
Haydée Guillot Jiménez,Haydée Guillot Jiménez
Henrik Pestano Pino,Henrik Pestano Pino
Herminia Hernández Fernández,Herminia Hernández Fernández
Hortensia J. Reyes Cervantes,Hortensia J. Reyes Cervantes
Huber Mart´ınez Rodr´ıguez,Huber Mart´ınez Rodr´ıguez
Héctor González,Héctor González
Idania Urrutia Roman´ı,Idania Urrutia Roman´ı
Iosvanny Jesús Alfonso Veloso,Iosvanny Jesús Alfonso Veloso
Irene Garc´ıa Rondón,Irene Garc´ıa Rondón
Irene Martínez Ferrer,Irene Martínez Ferrer
Isabel Alonso Berenguer,Isabel Alonso Berenguer
Isabel Martén Powell,Isabel Martén Powell
Isabel Santiesteban Pérez,Isabel Santiesteban Pérez
Isaura Lisbeth Hudiel Fuentes,Isaura Lisbeth Hudiel Fuentes
Isel Grau,Isel Grau
Isel Moreno Montes de Oca,Isel Moreno Montes de Oca
Isidro A. Abelló Ugalde,Isidro A. Abelló Ugalde
Isis Bonet,Isis Bonet
Ismel Martínez Díaz,Ismel Martínez Díaz
Ismel Martínez-Díaz,Ismel Martínez-Díaz
Isvani Frías Blanco,Isvani Frías Blanco
Ivett E. Fuentes,Ivett E. Fuentes
J. A. Reyes,J. A. Reyes
J. G. Tinoco-Ruiz,J. G. Tinoco-Ruiz
J. L. G. Santander,J. L. G. Santander
J. M. Isidro,J. M. Isidro
J. Rigoberto Gabriel-Argu¨elles,J. Rigoberto Gabriel-Argu¨elles
J. Villagómez,J. Villagómez
J.B. Dixon,J.B. Dixon
Jarvin Antón Vargas,Jarvin Antón Vargas
Javier GuillotJiménez,Javier GuillotJiménez
Javier Menéndez,Javier Menéndez
Jenaro Reyes M.,Jenaro Reyes M.
Jesús A. Ruiz Careaga,Jesús A. Ruiz Careaga
Jesús Barreto Molina,Jesús Barreto Molina
Joanna Campbell Amos,Joanna Campbell Amos
Jolbin José Mairena Aráuz,Jolbin José Mairena Aráuz
Jonathan Chicaiza Intriago,Jonathan Chicaiza Intriago
Jorge Del Risco Mart´ınez,Jorge Del Risco Mart´ınez
Jorge E. Macías-Díaz,Jorge E. Macías-Díaz
Jorge Erick López Velázquez,Jorge Erick López Velázquez
Jorge Estrada Hernández,Jorge Estrada Hernández
Jorge Estrada Sarlabous,Jorge Estrada Sarlabous
Jorge Luis Palomino Hernández,Jorge Luis Palomino Hernández
Jorge Luis Rodríguez Pérez,Jorge Luis Rodríguez Pérez
JorgeFardales Pérez,JorgeFardales Pérez
Jorly Alberto Pérez Pérez,Jorly Alberto Pérez Pérez
Jose A. Lugo García,Jose A. Lugo García
Jose Alejandro Mesejo-Chiong,Jose Alejandro Mesejo-Chiong
José A. Ornella Rodriguez,José A. Ornella Rodriguez
José Armando Vivero González,José Armando Vivero González
José E. Valdés Castro,José E. Valdés Castro
José Enrique Alvarez Iglesias2,José Enrique Alvarez Iglesias2
José Jorge Rodríguez Salgado,José Jorge Rodríguez Salgado
José Manuel Espinoza,José Manuel Espinoza
José María Sigarreta Almira,José María Sigarreta Almira
José Quintín Cuador Gil,José Quintín Cuador Gil
José R. Velázquez Codina,José R. Velázquez Codina
José Víctor Tamariz Flores,José Víctor Tamariz Flores
Juan Carlos Hernández Gómez,Juan Carlos Hernández Gómez
Juan Carlos Jiménez Sobrino,Juan Carlos Jiménez Sobrino
Juan Carlos Navarro González,Juan Carlos Navarro González
Juan Manuel Regalado Gómez,Juan Manuel Regalado Gómez
Juan Raúl Delgado Rubi,Juan Raúl Delgado Rubi
Juana E. Bermúdez Sosa,Juana E. Bermúdez Sosa
JuliettM.SuárezFerreira,JuliettM.SuárezFerreira
Julio Cruz Cruz,Julio Cruz Cruz
Julián Bravo Castillero,Julián Bravo Castillero
Kevin Talavera Díaz,Kevin Talavera Díaz
Laidy De Armas Jacomino,Laidy De Armas Jacomino
Larisa Zamora Matamoros,Larisa Zamora Matamoros
Laura Casas Fuentes,Laura Casas Fuentes
Lauren Jimenez-Martin,Lauren Jimenez-Martin
Leisy Sosa Castro,Leisy Sosa Castro
Leonardo Solanilla Chavarro,Leonardo Solanilla Chavarro
Leticia Arco García,Leticia Arco García
Leticia Cristina Bequer Mendoza,Leticia Cristina Bequer Mendoza
Li Guo,Li Guo
Lia de la Concepción Zerquera Ferrer,Lia de la Concepción Zerquera Ferrer
Lic. Bely Rodríguez Morales,Lic. Bely Rodríguez Morales
Lic. Javier Alejandro Quintero Roba,Lic. Javier Alejandro Quintero Roba
Lic. Laura Decalo Salgado,Lic. Laura Decalo Salgado
Lic. Mar´ıa Esther Reyes Calzado,Lic. Mar´ıa Esther Reyes Calzado
Lic. Roxana Pérez García,Lic. Roxana Pérez García
Ligia Ferreira Gomez,Ligia Ferreira Gomez
Lilian Muñiz Álvarez,Lilian Muñiz Álvarez
Lis Velázquez Vidal,Lis Velázquez Vidal
Lisbet Hernández Cárdenas,Lisbet Hernández Cárdenas
Lissette María Pedroso Carracedo,Lissette María Pedroso Carracedo
Lizet Sánchez Valdés,Lizet Sánchez Valdés
Lorena León Arencibia,Lorena León Arencibia
Lourdes Souto Anido,Lourdes Souto Anido
Lourdes Tarifa Lozano (Profesor Titular),Lourdes Tarifa Lozano (Profesor Titular)
Lucina García Hernández,Lucina García Hernández
Ludwig Leonard Méndez,Ludwig Leonard Méndez
Luis A. Salomón Hernández,Luis A. Salomón Hernández
Luis B. Lecha Estela,Luis B. Lecha Estela
Luis Efraín Velastegui López,Luis Efraín Velastegui López
Luis Enrique Bergues Cabrales,Luis Enrique Bergues Cabrales
Luis Enrique Fernández Machado,Luis Enrique Fernández Machado
Luis Eugenio Valdés García,Luis Eugenio Valdés García
Luis Giraldo González Ricardo,Luis Giraldo González Ricardo
Luis Manuel Ávila Nápolez,Luis Manuel Ávila Nápolez
Luis Orlando Castellanos Pérez,Luis Orlando Castellanos Pérez
Luis Quintero Domínguez,Luis Quintero Domínguez
Luis Sorinas Morales,Luis Sorinas Morales
Luisa González,Luisa González
Luís Santiago Moreno,Luís Santiago Moreno
Lázaro Ramón Caraballo Rodríguez,Lázaro Ramón Caraballo Rodríguez
M. A. García-March,M. A. García-March
M. A. Herrera,M. A. Herrera
M. Cortés-Molina,M. Cortés-Molina
M. L. Ruiz-Zavala,M. L. Ruiz-Zavala
M. Lorena Avendan˜o-Garrido,M. Lorena Avendan˜o-Garrido
M.A. Valera Pérez,M.A. Valera Pérez
M.G. Tenorio Arvide,M.G. Tenorio Arvide
MSc. Beatriz Pérez López,MSc. Beatriz Pérez López
MSc. Denis Martínez Tápanes,MSc. Denis Martínez Tápanes
MSc. Walter Carballosa Torres,MSc. Walter Carballosa Torres
MSc. Yanelis Estrada Hernández,MSc. Yanelis Estrada Hernández
Magdiel Vicet Morejón,Magdiel Vicet Morejón
Maibys Sierra Lorenzo,Maibys Sierra Lorenzo
Mailyn Álvarez Caneda,Mailyn Álvarez Caneda
Manuel Guardado Hernández,Manuel Guardado Hernández
Manuel Vázquez Acosta,Manuel Vázquez Acosta
Marcela Parraguez González,Marcela Parraguez González
Marcela Rivera,Marcela Rivera
Marelys Crespo Navas,Marelys Crespo Navas
Mariano Rodríguez Ricard,Mariano Rodríguez Ricard
Maricela Rodríguez Ortiz,Maricela Rodríguez Ortiz
Marielis Izquierdo Matias,Marielis Izquierdo Matias
Mariella Lorenzo Suárez,Mariella Lorenzo Suárez
Mario A. Vera-Villamar,Mario A. Vera-Villamar
Mario Carnesoltas Calvo,Mario Carnesoltas Calvo
Mario M. Ojeda3,Mario M. Ojeda3
Marlen Pérez Díaz,Marlen Pérez Díaz
Marlon Cobas-Batista,Marlon Cobas-Batista
Marta María Álvarez Pérez,Marta María Álvarez Pérez
Martha Beatriz Boggiano Castillo,Martha Beatriz Boggiano Castillo
Mar´ıa Virginia Rodr´ıguez Quiroz,Mar´ıa Virginia Rodr´ıguez Quiroz
María M. García,María M. García
María V. Mederos Brú,María V. Mederos Brú
María de Luz Gasca Soto,María de Luz Gasca Soto
María del Carmen Rivalta Valladares,María del Carmen Rivalta Valladares
María del Carmen Velasco Gómez,María del Carmen Velasco Gómez
Mayelín Macías Norat,Mayelín Macías Norat
Mercedes M. Leal Acosta,Mercedes M. Leal Acosta
Michaell González Jorrín,Michaell González Jorrín
Michel Artiles Egüe,Michel Artiles Egüe
Michel Cabezas,Michel Cabezas
Miguel Angel Borges Trenard,Miguel Angel Borges Trenard
Miguel Angel Socorro Borges,Miguel Angel Socorro Borges
Miguel Enrique Iglesias Martínez,Miguel Enrique Iglesias Martínez
Miguel Escalona Reyes,Miguel Escalona Reyes
Miguel Katrib Mora,Miguel Katrib Mora
Miguel Salvat Quesada,Miguel Salvat Quesada
Miguel Ángel Abreu Terán,Miguel Ángel Abreu Terán
Mijail Borges Quintana,Mijail Borges Quintana
Mijail Veliz Monteagudo,Mijail Veliz Monteagudo
Milenis Fernández Díaz,Milenis Fernández Díaz
Milton Henry Perea,Milton Henry Perea
Minerva Montero Díaz,Minerva Montero Díaz
Miriam Nicado García,Miriam Nicado García
Miriela Escobedo Nicot,Miriela Escobedo Nicot
Mir´ıam G. Báez-Hernández,Mir´ıam G. Báez-Hernández
Moisés Villena Muñoz,Moisés Villena Muñoz
N. Díaz,N. Díaz
Nana Cabo Bizet,Nana Cabo Bizet
Nancy Mesa Carpio,Nancy Mesa Carpio
Nancy Perez,Nancy Perez
Nelson Claudio Córdova Rosas,Nelson Claudio Córdova Rosas
Nelson Díaz,Nelson Díaz
Nelson Tomás Hernández Reyes,Nelson Tomás Hernández Reyes
Nigreisy Montalvo Zulueta,Nigreisy Montalvo Zulueta
Nivian Quintana,Nivian Quintana
Norma Cabrera,Norma Cabrera
Néstor Carbonell Rivero,Néstor Carbonell Rivero
O. A Acevedo Sandoval,O. A Acevedo Sandoval
Omar Salas García,Omar Salas García
Oristela Cuéllar Justiz,Oristela Cuéllar Justiz
Osmani Tito Corrioso,Osmani Tito Corrioso
Osvaldo Jesús Rojas Velázquez,Osvaldo Jesús Rojas Velázquez
Osvaldo Norman Montenegro,Osvaldo Norman Montenegro
Osviel Rodriguez Valdés,Osviel Rodriguez Valdés
Otilio Acevedo S.,Otilio Acevedo S.
Otilio B. Mederos Anoceto,Otilio B. Mederos Anoceto
P. Fernández de Córdoba,P. Fernández de Córdoba
P.Freyre,P.Freyre
Pablo Barrera Sánchez,Pablo Barrera Sánchez
Pablo Freyre Arrozarena,Pablo Freyre Arrozarena
Pablo Homero Velastegui López,Pablo Homero Velastegui López
Patricia Lorenzo-Luaces Álvarez,Patricia Lorenzo-Luaces Álvarez
Paula Fonte,Paula Fonte
Pedro Domínguez Wade,Pedro Domínguez Wade
Pedro Enrique Navarro Sosa,Pedro Enrique Navarro Sosa
Pedro Luis Del Angel Rodríguez,Pedro Luis Del Angel Rodríguez
Pedro Pablo de la Cruz Cobas,Pedro Pablo de la Cruz Cobas
Pedro Y. Piñero Pérez,Pedro Y. Piñero Pérez
Pilar Oròs Baguena,Pilar Oròs Baguena
Prof. Dr. Luis Ramiro Piñeiro Díaz,Prof. Dr. Luis Ramiro Piñeiro Díaz
Rafael Bello Pérez,Rafael Bello Pérez
Rafael Chaviano Conde,Rafael Chaviano Conde
Rafael E. Caballero Fernández,Rafael E. Caballero Fernández
Rafael M. Ávila Ávila,Rafael M. Ávila Ávila
Rafael Oliva-Santos,Rafael Oliva-Santos
RafaelBelloPérez,RafaelBelloPérez
Rainer Llera Menocal,Rainer Llera Menocal
Raisa Socorro Llanes,Raisa Socorro Llanes
Ramiro Pèrez Vazquez,Ramiro Pèrez Vazquez
Ramses Rodr´ıguez Aulet,Ramses Rodr´ıguez Aulet
Ramón Osmany Ramírez Tase,Ramón Osmany Ramírez Tase
Ransés Alfonso Rodríguez,Ransés Alfonso Rodríguez
Raúl Guinovart Díaz,Raúl Guinovart Díaz
Raúl Martínez Rosado,Raúl Martínez Rosado
RaœlGuinovart D(cid:237)az,RaœlGuinovart D(cid:237)az
Redelio Hernández Rubio,Redelio Hernández Rubio
Reinaldo Rodr(cid:237)guez Ramos,Reinaldo Rodr(cid:237)guez Ramos
Reynier A. de la Cruz Jiménez,Reynier A. de la Cruz Jiménez
Ricardo Abreu Blaya,Ricardo Abreu Blaya
Ridelio Miranda Pérez,Ridelio Miranda Pérez
Rita A. Roldán Inguanzo,Rita A. Roldán Inguanzo
Roberto Labrada Claro,Roberto Labrada Claro
Roberto Labrada-Claro,Roberto Labrada-Claro
Rodnel Pen˜a Alvarado,Rodnel Pen˜a Alvarado
Rolando J. Biscay Lirio,Rolando J. Biscay Lirio
