Source,Target
Lizet Sánchez Valdés,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba"
Lizet Sánchez Valdés,"Instituto de Medicina Tropical IPK, La Habana, Cuba"
Raúl Guinovart Díaz,"Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba"
Raúl Guinovart Díaz,"Centro de Inmunología Molecular, La Habana, Cuba"
Raúl Guinovart Díaz,"Universidad de La Habana, Facultad Matemática y Computación, Cuba"
Raúl Guinovart Díaz,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba"
Raúl Guinovart Díaz,"Instituto de Medicina Tropical IPK, La Habana, Cuba"
Waldemart Baldoquin,"Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba"
Waldemart Baldoquin,"Centro de Inmunología Molecular, La Habana, Cuba"
Waldemart Baldoquin,"Universidad de La Habana, Facultad Matemática y Computación, Cuba"
Waldemart Baldoquin,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba"
Waldemart Baldoquin,"Instituto de Medicina Tropical IPK, La Habana, Cuba"
Osvaldo Norman Montenegro,"Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba"
Osvaldo Norman Montenegro,"Centro de Inmunología Molecular, La Habana, Cuba"
Osvaldo Norman Montenegro,"Universidad de La Habana, Facultad Matemática y Computación, Cuba"
Osvaldo Norman Montenegro,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba"
Osvaldo Norman Montenegro,"Instituto de Medicina Tropical IPK, La Habana, Cuba"
Gabriel Gil,"Departamento de Física Teórica, Instituto de Cibernética, Matemática y Física (ICIMAF), La Habana, Cuba"
Gabriel Gil,"Departamento de Física Teórica, Facultad de Física, Universidad de La Habana, La Habana, Cuba"
Alejandro Lage-Castellanos,"Departamento de Física Teórica, Instituto de Cibernética, Matemática y Física (ICIMAF), La Habana, Cuba"
Alejandro Lage-Castellanos,"Departamento de Física Teórica, Facultad de Física, Universidad de La Habana, La Habana, Cuba"
Yanet Rodríguez Sarabia,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
Yanet Rodríguez Sarabia,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
Yanet Rodríguez Sarabia,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
Yanet Rodríguez Sarabia,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
María del Carmen Velasco Gómez,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
María del Carmen Velasco Gómez,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
María del Carmen Velasco Gómez,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
María del Carmen Velasco Gómez,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
María del Carmen Velasco Gómez,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
María del Carmen Velasco Gómez,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
María del Carmen Velasco Gómez,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
María del Carmen Velasco Gómez,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Carlos Rafael Sebrango Rodríguez,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Carlos Rafael Sebrango Rodríguez,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Carlos Rafael Sebrango Rodríguez,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
Carlos Rafael Sebrango Rodríguez,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
Carlos Rafael Sebrango Rodríguez,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
Carlos Rafael Sebrango Rodríguez,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
Carlos Rafael Sebrango Rodríguez,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
Carlos Rafael Sebrango Rodríguez,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Luis B. Lecha Estela,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Luis B. Lecha Estela,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Luis B. Lecha Estela,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
Luis B. Lecha Estela,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
Luis B. Lecha Estela,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
Luis B. Lecha Estela,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
Luis B. Lecha Estela,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
Luis B. Lecha Estela,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Carlos de la Caridad Rodríguez Fadragas,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Carlos de la Caridad Rodríguez Fadragas,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Carlos de la Caridad Rodríguez Fadragas,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
Carlos de la Caridad Rodríguez Fadragas,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
Carlos de la Caridad Rodríguez Fadragas,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
Carlos de la Caridad Rodríguez Fadragas,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
Carlos de la Caridad Rodríguez Fadragas,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
Carlos de la Caridad Rodríguez Fadragas,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
David Rodríguez Fernández,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
David Rodríguez Fernández,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
David Rodríguez Fernández,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
David Rodríguez Fernández,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
David Rodríguez Fernández,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
David Rodríguez Fernández,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
David Rodríguez Fernández,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
David Rodríguez Fernández,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Bárbara Rodríguez,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Bárbara Rodríguez,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Bárbara Rodríguez,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
Bárbara Rodríguez,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
Bárbara Rodríguez,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
Bárbara Rodríguez,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
Bárbara Rodríguez,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
Bárbara Rodríguez,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Osvaldo Norman Montenegro,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Osvaldo Norman Montenegro,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Osvaldo Norman Montenegro,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
Osvaldo Norman Montenegro,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
Osvaldo Norman Montenegro,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
Osvaldo Norman Montenegro,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
Osvaldo Norman Montenegro,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
Osvaldo Norman Montenegro,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Lic. Roxana Pérez García,"Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Lic. Roxana Pérez García,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Lic. Roxana Pérez García,"Delegación del CITMA en Villa Clara, Villa Clara, Cuba"
Lic. Roxana Pérez García,"Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba"
Lic. Roxana Pérez García,"Centro de Bioactivos Químicos, Villa Clara, Cuba"
Lic. Roxana Pérez García,"Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba"
Lic. Roxana Pérez García,"Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba"
Lic. Roxana Pérez García,"Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba"
Gabriela Bayolo Soler,"DepartamentodeMatemática,UniversidaddelaHabana,LaHabana,Cuba"
Daniel Menció Padrón,"DepartamentodeMatemática,UniversidaddelaHabana,LaHabana,Cuba"
Aymée de los Ángeles Marrero Severo,"DepartamentodeMatemática,UniversidaddelaHabana,LaHabana,Cuba"
Nana Cabo Bizet,"DepartamentodeFísica Teórica, InstitutodeCibernética, MatemáticayFísica, Calle E, No.309, Vedado, La Habana, Cuba"
Nana Cabo Bizet,"DepartamentodeFísica, DCI, Campus León, Universidad de Guanjuato, CP.37150, León, Guanajuato, México"
Alejandro Cabo Montes de Oca,"DepartamentodeFísica Teórica, InstitutodeCibernética, MatemáticayFísica, Calle E, No.309, Vedado, La Habana, Cuba"
Alejandro Cabo Montes de Oca,"DepartamentodeFísica, DCI, Campus León, Universidad de Guanjuato, CP.37150, León, Guanajuato, México"
Pedro Pablo de la Cruz Cobas,"DepartamentodeMatemáticaAplicada,UniversidaddeLaHabana,LaHabana,Cuba"
Pedro Pablo de la Cruz Cobas,"UniversidaddeLaHabana,LaHabana,Cuba"
